Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Contact Email,Phone Number,Number of Articles,Hub Tags,Full Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Duration (in weeks),School Type,School Program,Number of Enrollments,Number of Founders (Alumni),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price Currency (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Last Leadership Hiring Date,Number of Events,CB Rank (Organization),BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,G2 Stack - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),School Method
Arquivei,https://www.crunchbase.com/organization/arquivei,"Information Services, Information Technology, Intelligent Systems, SaaS, Software","São Carlos Do Pinhal, Sao Paulo, Brazil",Arquivei provides a database of legal documents issued in Brazil.,"19,542",Latin America,$1M to $10M,Active,2013-07-13,day,,,,,For Profit,https://arquivei.com.br/,https://twitter.com/ArquiveiOficial,https://www.facebook.com/arquivei/,https://www.linkedin.com/company/arquivei/,mkt@arquivei.com.br,55 16 3509 5555,,,"Arquivei is a web application that monitors NFes issued for CNPJ, automatically downloads the XML and PDF files, and stores them in the cloud. It works by reading digital certificates and does not require any software installations on the machines. Its panel allows users to view, print, search, and filter by period, supplier, and various other criteria for NFE, NFSe, and ES cells. Arquivei for businesses connects to the Department of Finance, automatically downloads NFes issued for the CNPJ of companies, and stores them in XML and DANFE on Note Management Panel; keeps all invoices before the product arrives; and offers reports, filters, and intelligent search for any content of the notes. It offers accountants with the Panel access to invoices of clients who are in Arquivei; enables them to monitor and centralize tax documents such as NFes, STCs, and NFSes Ginfes on Note Management Panel; and offers filters and intelligent search on any content of the notes. Arquivei is operated from São Carlos, Brazil.",,,,,,,,,,,,,,"Artificial Intelligence, Data and Analytics, Information Technology, Science and Engineering, Software",3,"Bruno Henrique Oliveira, Christian de Cico, Isis Abbud",101-250,5,Early Stage Venture,2018-06-29,,,,Series A,,,,Series A,3994528,USD,3994528,4044528,USD,4044528,"Valor Capital Group, Monashees, Igah, Ventures., Google Launchpad Accelerator",3,4,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"20,333",81,1,,36,,,,,,,,
DWUL Energy,https://www.crunchbase.com/organization/dwul-energy,"Renewable Energy, Solar, Wind Energy","Indaiatuba, Sao Paulo, Brazil",Renewable Energy,"19,551",Latin America,,Active,2013-05-14,day,,,,,For Profit,http://www.dwulenergy.com.br,,,,sergio@dwul.com.br,+551933183791,,,DWUL has Renewable Energy as its core business.   We simplify the Brazilian Energy market.  With our currently portfolio of 6000MW we are the only Brazilian company which has the know-how to provide turnkey solutions for Wind and Solar power plants.,,,,,,,,,,,,,,"Energy, Natural Resources, Sustainability",3,"Jose Edgard da Cunha Bueno, Lycas Araujo, Sergio Figueira",11-50,1,Early Stage Venture,2021-02-05,6000000,BRL,1117152,Series B,6000000,BRL,1117152,Series B,6000000,BRL,1117152,6000000,BRL,1117152,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"20,342",15,,,,,,,,,,,
Peerdustry,https://www.crunchbase.com/organization/peerdustry,"Developer Platform, Internet of Things, Manufacturing","Bela Vista, Sao Paulo, Brazil",Peerdustry is a platform for sharing industrial machinery and equipment.,"19,711",Latin America,,Active,2016-03-01,month,,,,,For Profit,http://peerdustry.com/,,https://www.facebook.com/peerdustry,https://www.linkedin.com/company/peerdustry---manufatura-compartilhada,contato@peerdustry.com,,1,,"Peerdustry is a platform for sharing industrial machinery and equipment. The company is a a high-tech company with solid foundation in the industrial machinery and manufacturing industry. Peerdustry makes idle machines connected to specific demands, increasing the use of installed industrial capacity and thus generating additional income and increasing the industry's competitiveness.",,,,,,,,,,,,,,"Internet Services, Manufacturing, Software",1,Paulo Navarro,11-50,1,Seed,2021-02-04,3000000,BRL,552771,Seed,3000000,BRL,552771,Seed,3000000,BRL,552771,3000000,BRL,552771,Redpoint eventures,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"20,504",58,,,,,,,,,,,
Digibee,https://www.crunchbase.com/organization/digibee,"B2B, B2C, Information and Communications Technology (ICT), SaaS, Telecommunications","São Paulo, Sao Paulo, Brazil",The Digibee platform solves your integration challenges and boosts your digital business.,"19,818",Latin America,$1M to $10M,Active,2017-05-22,day,,,,,For Profit,https://www.digibee.com,,https://www.facebook.com/godigibee,https://www.linkedin.com/company/godigibee-inc/,rodrigo@digibee.com.br,+1 754 249 8806,3,,"The Digibee platform solves your integration challenges and boosts your digital business – without a single line of code. Low code integrations mean less work, reduced costs, faster time to market, and more reliability. Our revolutionary solution resolves the integration challenge at its core and frees resources to focus on innovation. Turn your ideas into meaningful customer digital experiences real fast. We are committed to breaking down barriers so you can explore the limitless possibilities of digital business. Join us in the No Code revolution!  #LowCodeIntegration #HIP #EIpaaS",,,,,,,,,,,,,,"Hardware, Information Technology, Other, Software",3,"Peter Kreslins, Rodrigo Bernardinelli, Vitor Sousa",51-100,2,Seed,2020-06-05,5000000,USD,5000000,Seed,5000000,USD,5000000,Seed,6000000,USD,6000000,6000000,USD,6000000,"GAA Investments, Paulo Veras, Laércio Albuquerque",1,3,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,1,"20,616",34,,,,,,,,,,,
Theia,https://www.crunchbase.com/organization/theia,"Baby, Children, Health Care, Human Resources, Information Technology, Parenting, Women's","São Paulo, Sao Paulo, Brazil","Theia is a young Brazilian startup with a mission to empower parents to be healthier, happier and more successful at home and at work","19,846",Latin America,,Active,2019-01-01,year,,,,,For Profit,https://theia.com.br/,,,https://www.linkedin.com/company/theiabr/,,,1,,"Theia is a health tech focused on using technology to support working parents. Theia is a platform that leverages technology, data and user experience to give access to curated content, professionals and community connections, creating a modern support network for all working parents.",,,,,,,,,,,,,,"Administrative Services, Community and Lifestyle, Health Care, Information Technology",2,"Flavia Deutsch, Paula Crespi",11-50,1,Seed,2019-10-10,7000000,BRL,1703166,Seed,7000000,BRL,1703166,Seed,7000000,BRL,1703166,7000000,BRL,1703166,"Kaszek Ventures, MAYA Capital",1,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"20,647",41,,,,,,,,,,,
Click Cash,https://www.crunchbase.com/organization/click-cash,"Big Data, Consumer Lending, Credit, Financial Services, FinTech, Lending","São Paulo, Sao Paulo, Brazil",Click Cash is a mobile App that enables fast and secure personal loans in emerging economies using Open Banking and data analysis.,"19,931",Latin America,,Active,2019-01-01,year,,,,,For Profit,https://www.clickcash.com.br/,https://twitter.com/clickcashbrasil,https://www.facebook.com/clickcashbrasil,https://www.linkedin.com/company/clickcashbrasil,douglas@clickcash.com.br,+5521991577144,5,,"Click Cash is a mobile App that simplifies the complicated and bureaucratic process of personal unsecured lending to individuals.  Available on Google Play Store for Android devices, the app uses BigData and Open Banking for a new approach to personal finance, enabling secure and reliable microcredit to financially underserved people, in addition to financial education to help them make the best use of the new credit options that are now opening for the general public.  Based out of São Paulo (Brazil), the Fintech startup was originally idealized by Estonian entrepreneurs that saw in Brazil and Latin America the opportunity to develop their solution. Key founders bring 15+ years of experience in online lending in Europe and were founders of Amarbank in Indonesia in 2014, which made IPO in January 2020.  In 2019 it was estimated 45M unbanked and 65M financially underserved, but active and connected people, in Brazil alone. A group that has a financial activity of more than U$154 billion / R$ 800 billion per year, and a huge unmet demand for microcredit.   Click Cash offers, in a 5 minutes process, from 100 USD to 1.000 USD loans to be paid back in up to 12 months. Flexible and adapted to the new digital economy, we work with other Fintechs and traditional banks alike, using the most advanced technologies in Data Analytics and Mobile Security, i.e: facial recognition and device behavioral analytics, as well as financial history, that enables us to run a full credit analysis in seconds creating personalized offers per user.  The Click Cash App was officially launched in March 2020, and by August had +150K downloads and reached Top 5 in finance Apps in Brazil, with 4+ stars rating in Google Play Store and more than 9.5M USD / 50M BRL in received applications.",,,,,,,,,,,,,,"Data and Analytics, Financial Services, Lending and Investments",1,Douglas Murdoch,11-50,3,Seed,2020-06-02,490000,USD,490000,Seed,490000,USD,490000,Seed,5204687,USD,5204687,5204687,USD,5204687,"Latam Fintech Holdings, Morcote Holdings, FairPartner",1,3,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"20,733",59,,,,,,,,,,,
Movidesk,https://www.crunchbase.com/organization/movidesk,"Computer, Customer Service, Software","Blumenau, Santa Catarina, Brazil",Movidesk is a software provider that facilitates and streamlines customer service.,"19,937",Latin America,,Active,2016-01-01,year,,,,,For Profit,https://www.movidesk.com,https://twitter.com/movidesk,https://www.facebook.com/pg/Movidesk,https://www.linkedin.com/company/movidesk/,comercial@movidesk.com,,,,"Movidesk is a software provider that facilitates and streamlines customer service. Specialized in creating connections between companies and their clients, it offers a service platform that integrates multiple channels and manages all communication in one place. Movidesk was established in 2016 and is based in Blumenau, Brazil.",,,,,,,,,,,,,,"Consumer Electronics, Hardware, Other, Professional Services, Software",2,"Donisete Gomes, Edson Murilo Maestri",101-250,4,Early Stage Venture,2019-07-29,9000000,BRL,2379929,Series A,9000000,BRL,2379929,Series A,11650000,BRL,3098512,11650000,BRL,3098512,"Redpoint, A.B.Seed Ventures, WOW Aceleradora",3,3,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"20,739",56,,,,,,,,,,,
Ecotrace,https://www.crunchbase.com/organization/ecotrace,"Agriculture, AgTech, B2B, B2C, Blockchain, Developer APIs, Internet of Things, Machine Learning, Software","Vinhedo, Sao Paulo, Brazil",Ecotrace brings transparency and security to the supply chain market in the agribusiness segment.,"19,950",Latin America,,Active,2017-02-01,month,,,,,For Profit,http://ecotrace.info/,,https://www.facebook.com/ecotracesolutions/,https://www.linkedin.com/company/ecotrace-solutions/,contato@ecotrace.info,+55 19 2660-2777,1,,"Ecotrace emerged in 2017 with the main objective of making commodity traceability, with security and transparency, assisting in processes between all the links of the production chain, from the origin to the consumer, using a set of technological solutions such as: Machine Learning, IoT, Big Data and Data Science, thus creating a unique traceability platform for its trust and transparency in data through the Ecotrace protocol that uses Blockchain technology.",,,,,,,,,,,,,,"Agriculture and Farming, Artificial Intelligence, Data and Analytics, Internet Services, Other, Software",4,"Eric Luque, Eric Luque, Flavio Redi, Flavio Redi",11-50,3,Seed,2021-01-15,3000000,BRL,566775,Seed,3000000,BRL,566775,Seed,5250000,BRL,1100196,5250000,BRL,1100196,"KPTL, Helio Waszyk",1,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"20,751",16,,,,,,,,,,,
Nelogica,https://www.crunchbase.com/organization/nelogica,"Information Technology, Software","Porto Alegre, Rio Grande do Sul, Brazil",Nelogica develops software for technical analysis of assets in the financial market.,"20,147",Latin America,,Active,2003-01-01,year,,,,,,https://www.nelogica.com.br/,,https://www.facebook.com/nelogica/,https://www.linkedin.com/company/nelogica/,,,,Emerging Unicorn,Nelogica develops software for technical analysis of assets in the financial market.,,,,,,,,,,,,,,"Information Technology, Software",,,251-500,1,Private Equity,2020-11-26,550000000,BRL,103058012,Private Equity,550000000,BRL,103058012,Private Equity,550000000,BRL,103058012,550000000,BRL,103058012,"Vulcan Capital, Crescera Investimentos (f/k/a Bozano Investimentos)",2,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"20,953",50,,,,,,,,,,,
Shopper.com.br,https://www.crunchbase.com/organization/shopper,"Consumer Goods, Customer Service, Delivery, Food and Beverage, Food Delivery, Grocery, Internet, Internet of Things, Retail, Subscription Service","São Paulo, Sao Paulo, Brazil","Brazil’s largest pure-play online supermarket, with its fully-integrated supply chain ops and unique monthly auto-scheduled delivery model.","20,167",Latin America,$1M to $10M,Active,2015-02-01,month,,,,,For Profit,https://shopper.com.br/,,https://www.facebook.com/shopper.com.br/,https://www.linkedin.com/company/shopper.com.br/,contato@shopper.com.br,(11) 3661-1712,,,"Industry leading NPS, Shopper.com.br is the best replenishment system for Brazilian consumers. ""Reducing our loss of time and money with repetitive activities""  Shopper.com.br is a startup whose mission is to build a more efficient world, where essential products arrive at people's homes as easily as water arrives at the tap.  Our view of ""efficiency"" is complete: we look at both the waste of resources along the production and distribution chain of products and services (which generate unnecessarily high prices for the final consumer), and the waste of resources and time that end consumers spend to find, buy and enjoy these products and services. Our mission is to build a more efficient world in this direction. A world where people lose less money and time with monotonous, routine, everyday, unnecessary activities. We want to build such a world using innovative technology and business models, always with highly qualified and committed people on the team.  Our first challenge is to improve the efficiency of the distribution chain and supply of essential consumer products: cleaning products, personal hygiene and non-perishable food. We do this through our online platform for monthly sales and deliveries of grocery products. Our recurrence model allows us to have no inventory and have high predictability of demand, generating efficiency, which is passed on to consumers in the form of lower prices (~10% cheaper).",,,,,,,,,,,,,,"Administrative Services, Commerce and Shopping, Consumer Goods, Food and Beverage, Internet Services, Other, Professional Services, Transportation",2,"Bruna Vaz Negrão, Fábio Rodas Blanco",251-500,3,Early Stage Venture,2020-05-31,,,,Series A,,,,Series A,3700000,USD,3700000,3700000,USD,3700000,"FJ Labs, Ariel Lambrecht, Canary, Quartz, Gregory Reider",2,7,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"20,974",42,,,,,,,,,,,
Knewin,https://www.crunchbase.com/organization/knewin,"Analytics, Information Technology, Internet, News, Public Relations, Publishing, Social Media Marketing, Social News, Software","Florianópolis, Santa Catarina, Brazil",Through our media monitoring and intelligence solutions we help companies to have a comprehensive and strategic vision of their brands.,"20,222",Latin America,$10M to $50M,Active,2011-01-03,day,,,,,For Profit,http://www.knewin.com/,https://twitter.com/knewin_,https://www.facebook.com/knewinoficial/,https://www.linkedin.com/company/knewinoficial/,contato@knewin.com,+55 (11) 5070-4400,,,"Knewin has a global solutions platform, with big data analytics and artificial intelligence, that provides customers real-time brand monitoring with no keyword limit, in more than 80 languages and global reach. Knewin has the largest database in Latin America for media monitoring, in addition to intelligence and data analysis solutions for the communication and marketing segments.",,,,,,,,,,,,,,"Content and Publishing, Data and Analytics, Information Technology, Internet Services, Media and Entertainment, Sales and Marketing, Software",2,"Fabiano Duarte Beppler, Lucas Nazario",101-250,3,Early Stage Venture,2021-01-01,40000000,BRL,7702083,Series B,40000000,BRL,7702083,Series B,59900000,BRL,13083350,59900000,BRL,13083350,"KPTL, Oria Capital, Invisto, Intellipar",2,4,10,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"21,030",55,,,21,,,,,,,,
Vittude,https://www.crunchbase.com/organization/vittude,"Health Care, Marketplace, Psychology, SaaS, Therapeutics","São Paulo, Sao Paulo, Brazil",Vittude is a SaaS-enabled marketplace connecting high qualified psychologists to individuals and corporations.,"20,298",Latin America,,Active,2016-05-13,day,2019-10-01,month,,,For Profit,https://www.vittude.com,https://www.twitter.com/vittude,https://www.facebook.com/vittudebr,https://www.linkedin.com/company/vittude,contato@vittude.com,+5511985570806,7,,"Mental illness is the biggest health problem in recent years, affecting one in four people worldwide. According to WHO, Brazil has the most anxious, the 2nd more stressed and the  5th most depressed population of the world.  Not treating mental health disorders costs the global economy USD 1 trillion every year. And, for Brazilian companies, the negative impact of mental illness exceeds the $ 63 billion mark in lost productivity. Supporting employees' mental health is good for businesses’ financial results (4x ROI). Covid-19 has boosted online therapy adoption and psychological support has become an important feature to attract and retain the best talents. With more than 70 corporate clients such as Grupo Boticário, Raia Drogasil, SAP, Microsoft, Olist, Resultados Digitais, Warren, 99, and others, Vittude is impacting employees mental health and wellbeing.  Moreover, Vittude is the Latin America Mental health content leader, with more than 3 million unique visitors monthly (5x bigger than 2nd player).",,,,,,,,,,,,,,"Commerce and Shopping, Health Care, Software",2,"Everton Höpner, Tatiana Pimenta",51-100,2,M&A,2019-11-14,4500000,BRL,1072501,Seed,4500000,BRL,1072501,Seed,4500000,BRL,1072501,5100000,BRL,1256117,Redpoint eventures,1,1,,Was Acquired,Vittude acquired by SuperJobs,https://www.crunchbase.com/acquisition/superjobs-acquires-vittude--53f1db47,SuperJobs,https://www.crunchbase.com/organization/superjobs,2019-10-01,month,,,,,,Private,,,,,,,,,,,,,,1,"21,110",39,,,26,,,,,,,,
Goomer,https://www.crunchbase.com/organization/goomer,"Food and Beverage, Restaurants, Retail Technology","Sorocaba, Sao Paulo, Brazil","Goomer is a digital platform for restaurant operations, best known for its self-ordering kiosks and tabletop tablets.","20,481",Latin America,$10M to $50M,Active,2014-05-08,day,,,,,For Profit,http://www.goomer.com.br,https://twitter.com/GoomerCardapios,https://www.facebook.com/GoomerCardapios,https://www.linkedin.com/company/goomer,contato@goomer.com.br,+55 15 3342-9882,7,,"Goomer is a digital transformation platform best known for its physical interactive restaurant technology. Goomer manages more than 2.5 million orders monthly through 10.000 self-ordering kiosks, tabletop tablets and self checkouts. Goomer is operated from Sorocaba, Brazil.",,,,,,,,,,,,,,"Commerce and Shopping, Food and Beverage, Hardware, Software",1,Felipe M. Lo Sardo,51-100,2,Seed,2020-03-01,1600000,BRL,357238,Debt Financing,3000000,BRL,767145,Seed,3000000,BRL,767145,4600000,BRL,1124383,"DOMO Invest, Brasil Venture Debt",2,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"21,301",85,,,30,,,,,,,,
EduK,https://www.crunchbase.com/organization/eduk,"E-Commerce, E-Learning, EdTech, Education, Internet, Social Entrepreneurship, Training","São Paulo, Sao Paulo, Brazil",EduK offers an online teaching platform focused on professional courses.,"20,527",Latin America,Less than $1M,Active,2013-05-01,month,,,,,For Profit,http://www.eduk.com.br,http://twitter.com/cursoseduk,http://www.facebook.com/eduK,https://www.linkedin.com/company/eduk/,eduk@eduk.com.br,+55 11 2394 8800,5,,"EduK offers an online teaching platform focused on professional courses. It offers various online courses and tutorials on subscription such as, bag design, video making, photography, dentistry, business etc.  Eduardo Lima and Robson Catalan founded it in May 2013. It has its headquarters in Sao Paulo in Brazil.",,,,,,,,,,,,,,"Commerce and Shopping, Community and Lifestyle, Education, Internet Services, Software",2,"Eduardo Lima, Robson Catalan",101-250,2,Early Stage Venture,2015-05-12,10000000,USD,10000000,Series B,10000000,USD,10000000,Series B,10000000,USD,10000000,10000000,USD,10000000,"Felicis Ventures, Accel, Monashees",1,3,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"21,348",102,5,"21,191",30,,,,,,,,
Nomad,https://www.crunchbase.com/organization/nomad-deb4,Financial Services,"São Paulo, Sao Paulo, Brazil",Nomad is providing financial services.,"20,835",Latin America,,Active,2019-01-01,year,,,,,For Profit,https://www.nomadglobal.com,https://twitter.com/NomadGlobalApp,https://www.facebook.com/NomadGlobalApp,https://www.linkedin.com/company/nomadglobalapp,,,,,Nomad is providing financial services.,,,,,,,,,,,,,,Financial Services,,,11-50,1,Seed,2020-12-22,30000000,BRL,5813740,Seed,30000000,BRL,5813740,Seed,30000000,BRL,5813740,30000000,BRL,5813740,Monashees,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"21,670",15,,,,,,,,,,,
Hortifruti,https://www.crunchbase.com/organization/hortifruti,"Food and Beverage, Grocery, Retail","São Paulo, Sao Paulo, Brazil",The leading Brazilian health food retailer,"20,839",Latin America,$1M to $10M,Active,1989-01-01,year,,,,,For Profit,http://www.hortifruti.com.br/,https://twitter.com/hortifruti,https://www.facebook.com/hortifruti,,hortifruti@hortifruti.com.br,+55 27 2121-7575,,,"Founded in 1989, Hortifruti is Brazil's number one premium retailer of health foods including fruit and vegetables, dairy products, groceries and meats, with products typically brought from the farm to the shelf within 24 hours. Hortifruti has 40 existing stores within the states of São Paulo, Rio de Janeiro and Espírito Santo, as well as a large logistical operation, and employs over 6'600 people to serve around 2 million customers per month",,,,,,,,,,,,,,"Commerce and Shopping, Food and Beverage",2,"Gilberto Lopes, Tadeu Fachetti",1001-5000,2,Private Equity,2016-01-04,300000000,BRL,74533605,Private Equity,300000000,BRL,74533605,Private Equity,300000000,BRL,74533605,300000000,BRL,74533605,"Partners Group, Crescera Investimentos (f/k/a Bozano Investimentos)",,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"21,674",58,,,15,,,,,,,,
Pegaki,https://www.crunchbase.com/organization/pegaki,"E-Commerce, Information Technology, Logistics, Retail, Retail Technology, Supply Chain Management","Blumenau, Santa Catarina, Brazil",Pegaki is a network of withdrawal points for products purchased over the internet. ,"20,855",Latin America,$1M to $10M,Active,2016-03-01,month,2021-02-04,day,,,For Profit,http://pegaki.com.br/,https://twitter.com/pegaki_oficial,https://www.facebook.com/pegakioficial/,https://www.linkedin.com/company/pegaki/,contato@pegaki.com.br,11 3090-6040,,,"Pegaki is a network of withdrawal points for products purchased over the internet. The company brings the Omnichannel experience which is a retail trend, with the connection of e-commerce and physical stores. One way to do this is by using pickup points, also known as pickup points and click and collect, in a shared savings model without the need for a locker. Pegaki was founded in March 2016 and is headquartered in Blumenau, Brazil.",,,,,,,,,,,,,,"Commerce and Shopping, Hardware, Information Technology, Software, Transportation",3,"Daniel Frantz, Ismael Ricardo, João Cristofolini",1-10,3,M&A,2018-07-23,1200000,BRL,317299,Equity Crowdfunding,1200000,BRL,317299,Equity Crowdfunding,1660000,BRL,456938,1660000,BRL,456938,"EqSeed, Cotidiano",1,2,,Was Acquired,Pegaki acquired by Intelipost,https://www.crunchbase.com/acquisition/intelipost-acquires-pegaki--10c18a49,Intelipost,https://www.crunchbase.com/organization/intelipost,2021-02-04,day,,,,Acquisition,,Private,,,,,,,,,,,,,,,"21,693",32,,,,,,,,,,,
Platform A +,https://www.crunchbase.com/organization/platform-a,"E-Learning, EdTech, Education","Rio De Janeiro, Rio de Janeiro, Brazil",Platform A + helps transformations of education applying technology to deliver solutions that optimize the day-to-day activities of schools.,"20,916",Latin America,,Active,,,,,,,,https://www.plataformaamais.com.br/,,https://www.facebook.com/plataformaamais,https://www.linkedin.com/company/plataformaamais/,contato@plPlataformaamais.com.br,,,,"Platform A +, school administration gains efficiency, increase student engagement and learning.",,,,,,,,,,,,,,"Education, Software",,,,1,,2021-02-10,32000000,BRL,5940888,Venture - Series Unknown,32000000,BRL,5940888,Venture - Series Unknown,32000000,BRL,5940888,32000000,BRL,5940888,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"21,756",,,,,,,,,,,,
Aegro,https://www.crunchbase.com/organization/aegro-2,"Agriculture, Big Data, Internet, SaaS, Software","Porto Alegre, Rio Grande do Sul, Brazil","Aegro provides SaaS for the agricultural production system encompassing financial, productivity, and commercial management.","21,133",Latin America,Less than $1M,Active,2014-10-01,day,,,,,For Profit,http://www.aegro.com.br,,https://www.facebook.com/pg/aegro,https://www.linkedin.com/company/aegro,contato@aegro.com.br,+55 51 3103-9490,4,,"Aegro provides SaaS to replace old ways of dealing with agrarian data, largely based on paper and pencil or legacy software and generic tools that were never really designed for the job. Its solution is a management tool for the agricultural production system encompassing financial, productivity, and commercial management. Aegro was founded in 2014 and is based in Porto Alegre, Brazil.",,,,,,,,,,,,,,"Agriculture and Farming, Data and Analytics, Internet Services, Software",3,"Paulo Silvestrin, Pedro Dusso, Thomas Rodrigues",51-100,3,Early Stage Venture,2018-12-01,5000000,BRL,1292880,Series A,5000000,BRL,1292880,Series A,7650000,BRL,2136445,7650000,BRL,2136445,"SP Ventures, WOW Aceleradora",1,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"21,986",65,2,"1,533",,,,,,,,,
Kangu,https://www.crunchbase.com/organization/kangu,"E-Commerce, Logistics","São Paulo, Sao Paulo, Brazil",Kangu is a vertically integrated network of drop-off and pick-up points for e-commerce logistics.,"21,218",Latin America,,Active,2019-01-01,year,,,,,For Profit,https://www.kangu.com.br/,,,https://www.linkedin.com/company/kangu-tecnologia/about/,,,,,"Kangu is a vertically integrated network of drop-off and pick-up points for e-commerce logistics. Kangu solves an important infrastructure problem by connecting small online sellers, e commerce companies, transporters and 3rd party logistics providers, and consumers in an integrated platform to handle the drop-off, return/pick-up, and transport of packages sold online.",,,,,,,,,,,,,,"Commerce and Shopping, Transportation",,,11-50,1,Seed,2020-03-02,6000000,BRL,1341051,Seed,6000000,BRL,1341051,Seed,6000000,BRL,1341051,6000000,BRL,1341051,"NXTP Ventures, Américo Pereira Filho",1,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"22,076",67,,,,,,,,,,,
Chatpay,https://www.crunchbase.com/organization/chatpay-f008,Consumer,"Nova Lima, Minas Gerais, Brazil",ChatPay helps talented people to easily monetize their content in WhatsApp and Telegram groups.,"21,232",Latin America,$1M to $10M,Active,2020-01-10,day,,,,,For Profit,https://chatpay.com.br,,https://www.facebook.com/chatpay-105834400968800/,https://sg.linkedin.com/organization-guest/company/chatpay,founders@chatpay.com.br,+55 31 99928 1415,,,"ChatPay is building a Substack for WhatsApp, building out a platform that allows people to create exclusive WhatsApp chat channels while allowing admins to monetize the platform via member management.",,,,,,,,,,,,,,Other,,,1-10,2,Seed,2020-10-16,2100000,USD,2100000,Seed,2100000,USD,2100000,Seed,2225000,USD,2225000,2225000,USD,2225000,"Y Combinator, Kaszek Ventures, BIG BETS, Rodrigo Dantas",2,4,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"22,090",26,,,,,,,,,,,
FLOKI Technologies,https://www.crunchbase.com/organization/floki-technologies,"Artificial Intelligence, Fast-Moving Consumer Goods, Food and Beverage, Procurement, Restaurants, Software","São Paulo, Sao Paulo, Brazil",Smart and Autonomous Procurement System for Fragmented Foodservice Retailers,"21,246",Latin America,,Active,2020-03-13,day,,,,,For Profit,https://www.flokitech.com/,,https://www.instagram.com/floki_compras/,,contato@flokitech.com,,,,"FLOKI takes over the procurement area of businesses in fragmented industries. We are building a smart and fully autonomous digital procurement agent for fragmented food retailers (restaurants, independent grocery stores or any other small entity that buys Fast Moving Consumer Goods often).  Basically, a very smart virtual employee that buys really well, by searching through thousands of prices, mimicking human preferences and respecting thousands of constraints.  We also aggregate demand to enable small business owners to access better prices, payment terms and service levels.  Our algorithms proactively predict demand at sku-level in order to avoid stock-outs and excess stock at the same time.",,,,,,,,,,,,,,"Artificial Intelligence, Consumer Goods, Data and Analytics, Food and Beverage, Real Estate, Science and Engineering, Software, Transportation",2,"Luigi Uliana Rodrigues, Marcelo Lapa Espiga",11-50,1,Seed,2020-12-28,3600000,BRL,686145,Pre-Seed,3600000,BRL,686145,Pre-Seed,3600000,BRL,686145,3600000,BRL,686145,"Olist, GuiaBolso, VivaReal, Apontador Busca Local, Iporanga Ventures",1,5,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"22,104",14,,,,,,,,,,,
